,0 1,0 2,0 3,1 2,1 3,2 3
0,134.7080175787618,91.40272714202787,66.47477717149566,131.17178251819251,173.58152551466992,157.83113979503537
1,134.7080175787618,91.40272714202787,66.47477717149566,131.17178251819251,173.58152551466992,157.83113979503537
2,135.39017689625788,94.06951434444636,63.83248389339084,131.17178251819251,173.58152551466992,157.83113979503537
3,135.4483296316348,93.63519919880558,64.25181709492736,131.17178251819251,173.58152551466992,157.83113979503537
4,135.2129416882866,92.39203645336538,65.2875118227062,130.91572250879574,173.58152551466992,157.63861582746785
5,133.1789247591375,92.32207969927886,65.36318535689644,129.89220915820934,171.58587587560933,157.63861582746785
6,134.22093577382032,92.39203645336538,65.2875118227062,130.24625292114933,172.60586896163178,157.63861582746785
7,134.22799298208997,92.86018576332914,64.82916396190839,130.24625292114933,172.60586896163178,157.63861582746785
8,134.39680055715613,93.87196812680556,63.83248389339084,130.24625292114933,172.60586896163178,157.63861582746785
9,134.39680055715613,93.87196812680556,63.83248389339084,130.24625292114933,172.60586896163178,157.63861582746785
10,134.39680055715613,93.87196812680556,63.83248389339084,130.24625292114933,172.60586896163178,157.63861582746785
11,133.2285675071229,92.85004900375657,64.84446005635331,129.89220915820934,171.58587587560933,157.63861582746785
12,133.322904633825,92.86018576332914,64.82916396190839,129.89220915820934,171.58587587560933,157.63861582746785
13,133.322904633825,92.86018576332914,64.91806913333146,129.89220915820934,171.6424399733353,157.72777688156262
14,134.39680055715613,93.87196812680556,63.9213422887849,130.24625292114933,172.66249737566062,157.72777688156262
15,133.322904633825,92.86018576332914,64.91806913333146,129.89220915820934,171.6424399733353,157.72777688156262
16,132.42230099194018,92.18521979688504,65.8806147512301,129.8838308989999,171.14586176709034,158.0094808832685
17,133.9001493651146,93.96648439204267,63.9213422887849,130.20152529444502,172.1748181355218,157.8156270747609
18,132.9661611087573,94.06951434444636,64.010202311819,129.8838308989999,171.14586176709034,158.0094808832685
19,132.9661611087573,94.06951434444636,64.010202311819,129.8838308989999,171.14586176709034,158.0094808832685
20,132.94150969505353,92.18521979688504,65.79170920412388,130.14987517858017,171.6424399733353,157.92031018523235
21,133.84366178493474,92.18521979688504,65.79170920412388,130.50301348627931,172.66249737566062,157.92031018523235
22,134.39680055715613,94.06951434444636,64.010202311819,130.50301348627931,172.7191535412329,158.0094808832685
23,133.48792454750355,94.06951434444636,64.010202311819,130.14987517858017,171.69903202988652,158.0094808832685
